state,end_date,sample_size,candidate_name,pct
National,2024-10-16,1000,Kamala Harris,49.5
National,2024-10-16,1000,Donald Trump,49.2
Arizona,2024-10-16,1435,Kamala Harris,48
Arizona,2024-10-16,1435,Donald Trump,51
National,2024-10-15,1457,Kamala Harris,48
National,2024-10-15,1457,Donald Trump,45
National,2024-10-15,1314,Kamala Harris,49
National,2024-10-15,1314,Donald Trump,45
California,2024-10-14,1000,Kamala Harris,61
California,2024-10-14,1000,Donald Trump,36.6
National,2024-10-14,1110,Kamala Harris,48
National,2024-10-14,1110,Donald Trump,50
National,2024-10-14,870,Kamala Harris,48
National,2024-10-14,870,Donald Trump,50
Georgia,2024-10-14,1328,Kamala Harris,45
Georgia,2024-10-14,1328,Donald Trump,52
Georgia,2024-10-14,1328,Kamala Harris,46
Georgia,2024-10-14,1328,Donald Trump,52
North Carolina,2024-10-14,1031,Kamala Harris,49
North Carolina,2024-10-14,1031,Donald Trump,47
North Carolina,2024-10-14,1031,Kamala Harris,50
North Carolina,2024-10-14,1031,Donald Trump,47
Washington,2024-10-14,703,Kamala Harris,57
Washington,2024-10-14,703,Donald Trump,35
Georgia,2024-10-14,701,Kamala Harris,45.8
Georgia,2024-10-14,701,Donald Trump,48.9
National,2024-10-14,806,Kamala Harris,50
National,2024-10-14,806,Donald Trump,47
National,2024-10-13,807,Kamala Harris,45
National,2024-10-13,807,Donald Trump,42
National,2024-10-13,769,Kamala Harris,47
National,2024-10-13,769,Donald Trump,44
National,2024-10-13,938,Kamala Harris,41
National,2024-10-13,938,Donald Trump,37
National,2024-10-11,2712,Kamala Harris,51
National,2024-10-11,2712,Donald Trump,48
National,2024-10-10,1401,Kamala Harris,52
National,2024-10-10,1401,Donald Trump,47
National,2024-10-10,1708,Kamala Harris,51
National,2024-10-10,1708,Donald Trump,48
Pennsylvania,2024-10-10,857,Kamala Harris,50
Pennsylvania,2024-10-10,857,Donald Trump,47
Pennsylvania,2024-10-10,857,Kamala Harris,49
Pennsylvania,2024-10-10,857,Donald Trump,45
Pennsylvania,2024-10-10,857,Kamala Harris,50
Pennsylvania,2024-10-10,857,Donald Trump,47
Pennsylvania,2024-10-10,857,Kamala Harris,49
Pennsylvania,2024-10-10,857,Donald Trump,45
Arizona,2024-10-10,808,Kamala Harris,46
Arizona,2024-10-10,808,Donald Trump,51
Arizona,2024-10-10,808,Kamala Harris,45
Arizona,2024-10-10,808,Donald Trump,50
Arizona,2024-10-10,808,Kamala Harris,45
Arizona,2024-10-10,808,Donald Trump,51
Arizona,2024-10-10,808,Kamala Harris,44
Arizona,2024-10-10,808,Donald Trump,49
New Hampshire,2024-10-10,600,Kamala Harris,50
New Hampshire,2024-10-10,600,Donald Trump,41
Texas,2024-10-10,1091,Kamala Harris,46
Texas,2024-10-10,1091,Donald Trump,51
National,2024-10-10,780,Kamala Harris,50
National,2024-10-10,780,Donald Trump,50
National,2024-10-10,780,Kamala Harris,43
National,2024-10-10,780,Donald Trump,39
National,2024-10-10,652,Kamala Harris,50
National,2024-10-10,652,Donald Trump,50
National,2024-10-10,652,Kamala Harris,44
National,2024-10-10,652,Donald Trump,41
Pennsylvania,2024-10-09,800,Kamala Harris,46
Pennsylvania,2024-10-09,800,Donald Trump,45
Arizona,2024-10-08,1000,Kamala Harris,48.2
Arizona,2024-10-08,1000,Donald Trump,50.5
Georgia,2024-10-08,1000,Kamala Harris,49.8
Georgia,2024-10-08,1000,Donald Trump,49.7
Michigan,2024-10-08,950,Kamala Harris,49.7
Michigan,2024-10-08,950,Donald Trump,49.6
Nevada,2024-10-08,900,Kamala Harris,49.2
Nevada,2024-10-08,900,Donald Trump,48.1
North Carolina,2024-10-08,1000,Kamala Harris,49
North Carolina,2024-10-08,1000,Donald Trump,49.9
Pennsylvania,2024-10-08,1000,Kamala Harris,49
Pennsylvania,2024-10-08,1000,Donald Trump,49.7
Wisconsin,2024-10-08,1000,Kamala Harris,49.2
Wisconsin,2024-10-08,1000,Donald Trump,49.9
Montana,2024-10-08,656,Kamala Harris,39
Montana,2024-10-08,656,Donald Trump,57
Montana,2024-10-08,656,Kamala Harris,38
Montana,2024-10-08,656,Donald Trump,56
Montana,2024-10-08,656,Kamala Harris,40
Montana,2024-10-08,656,Donald Trump,57
Montana,2024-10-08,656,Kamala Harris,39
Montana,2024-10-08,656,Donald Trump,56
National,2024-10-08,1000,Kamala Harris,46
National,2024-10-08,1000,Donald Trump,47
National,2024-10-08,1000,Kamala Harris,48
National,2024-10-08,1000,Donald Trump,48
National,2024-10-08,2631,Kamala Harris,49
National,2024-10-08,2631,Donald Trump,48
National,2024-10-08,2226,Kamala Harris,49
National,2024-10-08,2226,Donald Trump,47
National,2024-10-08,1714,Kamala Harris,50
National,2024-10-08,1714,Donald Trump,48
National,2024-10-08,2631,Kamala Harris,50
National,2024-10-08,2631,Donald Trump,49
National,2024-10-08,2226,Kamala Harris,50
National,2024-10-08,2226,Donald Trump,49
National,2024-10-08,1714,Kamala Harris,51
National,2024-10-08,1714,Donald Trump,48
National,2024-10-07,1414,Kamala Harris,47
National,2024-10-07,1414,Donald Trump,44
National,2024-10-07,1230,Kamala Harris,49
National,2024-10-07,1230,Donald Trump,45
National,2024-10-07,1272,Kamala Harris,42
National,2024-10-07,1272,Donald Trump,38
National,2024-10-07,1076,Kamala Harris,46
National,2024-10-07,1076,Donald Trump,43
National,2024-10-07,1076,Kamala Harris,47
National,2024-10-07,1076,Donald Trump,45
National,2024-10-07,1272,Kamala Harris,48
National,2024-10-07,1272,Donald Trump,47
National,2024-10-07,1076,Kamala Harris,50
National,2024-10-07,1076,Donald Trump,48
National,2024-10-07,1076,Kamala Harris,51
National,2024-10-07,1076,Donald Trump,49
Michigan,2024-10-07,1007,Kamala Harris,47
Michigan,2024-10-07,1007,Donald Trump,50
Michigan,2024-10-07,1007,Kamala Harris,47
Michigan,2024-10-07,1007,Donald Trump,51
Pennsylvania,2024-10-07,1412,Kamala Harris,49
Pennsylvania,2024-10-07,1412,Donald Trump,46
Pennsylvania,2024-10-07,1412,Kamala Harris,49
Pennsylvania,2024-10-07,1412,Donald Trump,47
Wisconsin,2024-10-07,1073,Kamala Harris,46
Wisconsin,2024-10-07,1073,Donald Trump,48
Wisconsin,2024-10-07,1073,Kamala Harris,47
Wisconsin,2024-10-07,1073,Donald Trump,49
Florida,2024-10-07,1257,Kamala Harris,47
Florida,2024-10-07,1257,Donald Trump,51
Florida,2024-10-07,1410,Kamala Harris,47
Florida,2024-10-07,1410,Donald Trump,51
Texas,2024-10-07,1365,Kamala Harris,46
Texas,2024-10-07,1365,Donald Trump,52
Texas,2024-10-07,1186,Kamala Harris,46
Texas,2024-10-07,1186,Donald Trump,53
Ohio,2024-10-07,1511,Kamala Harris,46
Ohio,2024-10-07,1511,Donald Trump,52
Ohio,2024-10-07,1327,Kamala Harris,46
Ohio,2024-10-07,1327,Donald Trump,52
Ohio,2024-10-07,1002,Kamala Harris,45
Ohio,2024-10-07,1002,Donald Trump,51
Ohio,2024-10-07,1002,Kamala Harris,44
Ohio,2024-10-07,1002,Donald Trump,51
National,2024-10-06,4025,Kamala Harris,48
National,2024-10-06,4025,Donald Trump,47
National,2024-10-06,4025,Kamala Harris,50
National,2024-10-06,4025,Donald Trump,49
National,2024-10-06,3385,Kamala Harris,49
National,2024-10-06,3385,Donald Trump,46
National,2024-10-06,3385,Kamala Harris,47
National,2024-10-06,3385,Donald Trump,44
Florida,2024-10-06,622,Kamala Harris,41
Florida,2024-10-06,622,Donald Trump,55
Florida,2024-10-06,622,Kamala Harris,40
Florida,2024-10-06,622,Donald Trump,53
Florida,2024-10-06,622,Kamala Harris,41
Florida,2024-10-06,622,Donald Trump,54
Florida,2024-10-06,622,Kamala Harris,40
Florida,2024-10-06,622,Donald Trump,53
Massachusetts,2024-10-05,500,Kamala Harris,61.2
Massachusetts,2024-10-05,500,Donald Trump,32.2
National,2024-10-04,1150,Kamala Harris,46
National,2024-10-04,1150,Donald Trump,45
National,2024-10-04,1032,Kamala Harris,47
National,2024-10-04,1032,Donald Trump,47
National,2024-10-04,1151,Kamala Harris,48
National,2024-10-04,1151,Donald Trump,46
National,2024-10-04,1033,Kamala Harris,48
National,2024-10-04,1033,Donald Trump,47
Florida,2024-10-04,625,Kamala Harris,43
Florida,2024-10-04,625,Donald Trump,49
Texas,2024-10-04,617,Kamala Harris,44
Texas,2024-10-04,617,Donald Trump,50
Texas,2024-10-04,617,Kamala Harris,42
Texas,2024-10-04,617,Donald Trump,49
Texas,2024-10-04,617,Kamala Harris,44
Texas,2024-10-04,617,Donald Trump,50
Texas,2024-10-04,617,Kamala Harris,41
Texas,2024-10-04,617,Donald Trump,48
Virginia,2024-10-04,800,Kamala Harris,52
Virginia,2024-10-04,800,Donald Trump,41
National,2024-10-03,1211,Kamala Harris,49
National,2024-10-03,1211,Donald Trump,46
Pennsylvania,2024-10-02,1000,Kamala Harris,46.8
Pennsylvania,2024-10-02,1000,Donald Trump,44.7
National,2024-10-01,1463,Kamala Harris,48
National,2024-10-01,1463,Donald Trump,45
National,2024-10-01,1261,Kamala Harris,49
National,2024-10-01,1261,Donald Trump,46
National,2024-10-01,1000,Kamala Harris,50.2
National,2024-10-01,1000,Donald Trump,48.6
National,2024-10-01,1294,Kamala Harris,50
National,2024-10-01,1294,Donald Trump,48
National,2024-10-01,1514,Kamala Harris,50
National,2024-10-01,1514,Donald Trump,47
California,2024-10-01,3045,Kamala Harris,57
California,2024-10-01,3045,Donald Trump,35
North Carolina,2024-09-29,1001,Kamala Harris,48
North Carolina,2024-09-29,1001,Donald Trump,50
North Carolina,2024-09-29,1001,Kamala Harris,47
North Carolina,2024-09-29,1001,Donald Trump,50
North Carolina,2024-09-29,953,Kamala Harris,47
North Carolina,2024-09-29,953,Donald Trump,49
North Carolina,2024-09-29,953,Kamala Harris,48
North Carolina,2024-09-29,953,Donald Trump,49
Georgia,2024-09-29,942,Kamala Harris,44
Georgia,2024-09-29,942,Donald Trump,50
Georgia,2024-09-29,942,Kamala Harris,45
Georgia,2024-09-29,942,Donald Trump,50
South Carolina,2024-09-29,1068,Kamala Harris,42
South Carolina,2024-09-29,1068,Donald Trump,51.6
North Carolina,2024-09-29,814,Kamala Harris,48
North Carolina,2024-09-29,814,Donald Trump,46
North Carolina,2024-09-29,589,Kamala Harris,48
North Carolina,2024-09-29,589,Donald Trump,48
Arizona,2024-09-28,920,Kamala Harris,47.6
Arizona,2024-09-28,920,Donald Trump,51.7
North Carolina,2024-09-28,850,Kamala Harris,49.1
North Carolina,2024-09-28,850,Donald Trump,49.9
Pennsylvania,2024-09-28,1000,Kamala Harris,49.3
Pennsylvania,2024-09-28,1000,Donald Trump,48.8
National,2024-09-27,848,Kamala Harris,48
National,2024-09-27,848,Donald Trump,45
Nebraska CD-2,2024-09-26,680,Kamala Harris,51
Nebraska CD-2,2024-09-26,680,Donald Trump,42
Nebraska CD-2,2024-09-26,680,Kamala Harris,49
Nebraska CD-2,2024-09-26,680,Donald Trump,41
Nebraska CD-2,2024-09-26,680,Kamala Harris,52
Nebraska CD-2,2024-09-26,680,Donald Trump,43
Nebraska CD-2,2024-09-26,680,Kamala Harris,51
Nebraska CD-2,2024-09-26,680,Donald Trump,42
Minnesota,2024-09-26,646,Kamala Harris,50
Minnesota,2024-09-26,646,Donald Trump,44
North Carolina,2024-09-26,1005,Kamala Harris,47.1
North Carolina,2024-09-26,1005,Donald Trump,49.4
Michigan,2024-09-26,688,Kamala Harris,45
Michigan,2024-09-26,688,Donald Trump,47
Michigan,2024-09-26,688,Kamala Harris,43
Michigan,2024-09-26,688,Donald Trump,46
Michigan,2024-09-26,688,Kamala Harris,48
Michigan,2024-09-26,688,Donald Trump,47
Michigan,2024-09-26,688,Kamala Harris,46
Michigan,2024-09-26,688,Donald Trump,46
Ohio,2024-09-26,687,Kamala Harris,45
Ohio,2024-09-26,687,Donald Trump,49
Ohio,2024-09-26,687,Kamala Harris,44
Ohio,2024-09-26,687,Donald Trump,47
Ohio,2024-09-26,687,Kamala Harris,44
Ohio,2024-09-26,687,Donald Trump,50
Ohio,2024-09-26,687,Kamala Harris,43
Ohio,2024-09-26,687,Donald Trump,49
Wisconsin,2024-09-26,680,Kamala Harris,49
Wisconsin,2024-09-26,680,Donald Trump,47
Wisconsin,2024-09-26,680,Kamala Harris,48
Wisconsin,2024-09-26,680,Donald Trump,45
Wisconsin,2024-09-26,680,Kamala Harris,49
Wisconsin,2024-09-26,680,Donald Trump,47
Wisconsin,2024-09-26,680,Kamala Harris,48
Wisconsin,2024-09-26,680,Donald Trump,46
Wisconsin,2024-09-26,882,Kamala Harris,52
Wisconsin,2024-09-26,882,Donald Trump,48
Wisconsin,2024-09-26,798,Kamala Harris,52
Wisconsin,2024-09-26,798,Donald Trump,48
Wisconsin,2024-09-26,882,Kamala Harris,48
Wisconsin,2024-09-26,882,Donald Trump,44
Wisconsin,2024-09-26,798,Kamala Harris,49
Wisconsin,2024-09-26,798,Donald Trump,44
National,2024-09-25,1005,Kamala Harris,52
National,2024-09-25,1005,Donald Trump,45
National,2024-09-25,1005,Kamala Harris,49
National,2024-09-25,1005,Donald Trump,44
New York,2024-09-25,1000,Kamala Harris,55.5
New York,2024-09-25,1000,Donald Trump,41.6
North Carolina,2024-09-25,931,Kamala Harris,48
North Carolina,2024-09-25,931,Donald Trump,48
Nebraska CD-2,2024-09-25,749,Kamala Harris,53
Nebraska CD-2,2024-09-25,749,Donald Trump,42
Arizona,2024-09-25,946,Kamala Harris,48.6
Arizona,2024-09-25,946,Donald Trump,49.7
Arizona,2024-09-25,946,Kamala Harris,48.6
Arizona,2024-09-25,946,Donald Trump,49.8
Michigan,2024-09-25,918,Kamala Harris,46.6
Michigan,2024-09-25,918,Donald Trump,50.4
Michigan,2024-09-25,918,Kamala Harris,47.2
Michigan,2024-09-25,918,Donald Trump,50.6
Nevada,2024-09-25,858,Kamala Harris,50.6
Nevada,2024-09-25,858,Donald Trump,47.7
Nevada,2024-09-25,858,Kamala Harris,50.5
Nevada,2024-09-25,858,Donald Trump,47.7
Pennsylvania,2024-09-25,1775,Kamala Harris,48
Pennsylvania,2024-09-25,1775,Donald Trump,50.6
Pennsylvania,2024-09-25,1775,Kamala Harris,48.1
Pennsylvania,2024-09-25,1775,Donald Trump,51
Wisconsin,2024-09-25,1077,Kamala Harris,48.2
Wisconsin,2024-09-25,1077,Donald Trump,49.6
Wisconsin,2024-09-25,1077,Kamala Harris,48.2
Wisconsin,2024-09-25,1077,Donald Trump,49.7
North Carolina,2024-09-25,1173,Kamala Harris,50.8
North Carolina,2024-09-25,1173,Donald Trump,47.3
North Carolina,2024-09-25,1173,Kamala Harris,50.5
North Carolina,2024-09-25,1173,Donald Trump,48.1
Georgia,2024-09-25,1200,Kamala Harris,49
Georgia,2024-09-25,1200,Donald Trump,49.3
Georgia,2024-09-25,1200,Kamala Harris,49
Georgia,2024-09-25,1200,Donald Trump,49.6
Texas,2024-09-24,950,Kamala Harris,46.7
Texas,2024-09-24,950,Donald Trump,52.3
Virginia,2024-09-24,860,Kamala Harris,52.7
Virginia,2024-09-24,860,Donald Trump,46.2
National,2024-09-24,1424,Kamala Harris,47
National,2024-09-24,1424,Donald Trump,44
National,2024-09-24,1220,Kamala Harris,49
National,2024-09-24,1220,Donald Trump,46
Georgia,2024-09-24,1441,Kamala Harris,49
Georgia,2024-09-24,1441,Donald Trump,51
Arizona,2024-09-24,1021,Kamala Harris,47
Arizona,2024-09-24,1021,Donald Trump,49
Arizona,2024-09-24,764,Kamala Harris,47
Arizona,2024-09-24,764,Donald Trump,50
Arizona,2024-09-24,1021,Kamala Harris,48
Arizona,2024-09-24,1021,Donald Trump,50
Arizona,2024-09-24,764,Kamala Harris,48
Arizona,2024-09-24,764,Donald Trump,51
Georgia,2024-09-24,1006,Kamala Harris,49
Georgia,2024-09-24,1006,Donald Trump,47
Georgia,2024-09-24,707,Kamala Harris,50
Georgia,2024-09-24,707,Donald Trump,48
Georgia,2024-09-24,1006,Kamala Harris,51
Georgia,2024-09-24,1006,Donald Trump,48
Georgia,2024-09-24,707,Kamala Harris,51
Georgia,2024-09-24,707,Donald Trump,48
North Carolina,2024-09-24,787,Kamala Harris,47
North Carolina,2024-09-24,787,Donald Trump,49
North Carolina,2024-09-24,991,Kamala Harris,48
North Carolina,2024-09-24,991,Donald Trump,47
North Carolina,2024-09-24,787,Kamala Harris,49
North Carolina,2024-09-24,787,Donald Trump,50
North Carolina,2024-09-24,991,Kamala Harris,50
North Carolina,2024-09-24,991,Donald Trump,48
Pennsylvania,2024-09-24,775,Kamala Harris,47
Pennsylvania,2024-09-24,775,Donald Trump,48
Pennsylvania,2024-09-24,1021,Kamala Harris,48
Pennsylvania,2024-09-24,1021,Donald Trump,46
Pennsylvania,2024-09-24,775,Kamala Harris,49
Pennsylvania,2024-09-24,775,Donald Trump,49
Pennsylvania,2024-09-24,1021,Kamala Harris,50
Pennsylvania,2024-09-24,1021,Donald Trump,48
Arizona,2024-09-24,1416,Kamala Harris,48
Arizona,2024-09-24,1416,Donald Trump,50
Arizona,2024-09-24,1264,Kamala Harris,49
Arizona,2024-09-24,1264,Donald Trump,50
North Carolina,2024-09-24,1507,Kamala Harris,49
North Carolina,2024-09-24,1507,Donald Trump,48
North Carolina,2024-09-24,1348,Kamala Harris,49
North Carolina,2024-09-24,1348,Donald Trump,49
Georgia,2024-09-24,1420,Kamala Harris,49
Georgia,2024-09-24,1420,Donald Trump,48
Georgia,2024-09-24,1220,Kamala Harris,49
Georgia,2024-09-24,1220,Donald Trump,50
Arizona,2024-09-24,500,Kamala Harris,42.4
Arizona,2024-09-24,500,Donald Trump,48.4
Nebraska,2024-09-23,558,Kamala Harris,40
Nebraska,2024-09-23,558,Donald Trump,56
Maryland,2024-09-23,1012,Kamala Harris,63
Maryland,2024-09-23,1012,Donald Trump,31
Maryland,2024-09-23,1012,Kamala Harris,64
Maryland,2024-09-23,1012,Donald Trump,32
Maryland,2024-09-23,1012,Kamala Harris,61
Maryland,2024-09-23,1012,Donald Trump,31
Maryland,2024-09-23,1012,Kamala Harris,62
Maryland,2024-09-23,1012,Donald Trump,32
National,2024-09-22,871,Kamala Harris,46.61
National,2024-09-22,871,Donald Trump,40.48
National,2024-09-22,785,Kamala Harris,50
National,2024-09-22,785,Donald Trump,44
National,2024-09-22,1029,Kamala Harris,42
National,2024-09-22,1029,Donald Trump,38
National,2024-09-22,2074,Kamala Harris,48
National,2024-09-22,2074,Donald Trump,47
National,2024-09-22,2074,Kamala Harris,47
National,2024-09-22,2074,Donald Trump,47
National,2024-09-22,1728,Kamala Harris,47
National,2024-09-22,1728,Donald Trump,48
National,2024-09-22,1728,Kamala Harris,48
National,2024-09-22,1728,Donald Trump,48
Arizona,2024-09-21,713,Kamala Harris,45
Arizona,2024-09-21,713,Donald Trump,49
Arizona,2024-09-21,713,Kamala Harris,45
Arizona,2024-09-21,713,Donald Trump,50
Arizona,2024-09-21,713,Kamala Harris,42
Arizona,2024-09-21,713,Donald Trump,47
Arizona,2024-09-21,713,Kamala Harris,43
Arizona,2024-09-21,713,Donald Trump,48
Georgia,2024-09-21,682,Kamala Harris,44
Georgia,2024-09-21,682,Donald Trump,48
Georgia,2024-09-21,682,Kamala Harris,45
Georgia,2024-09-21,682,Donald Trump,49
Georgia,2024-09-21,682,Kamala Harris,43
Georgia,2024-09-21,682,Donald Trump,46
Georgia,2024-09-21,682,Kamala Harris,44
Georgia,2024-09-21,682,Donald Trump,47
North Carolina,2024-09-21,682,Kamala Harris,47
North Carolina,2024-09-21,682,Donald Trump,48
North Carolina,2024-09-21,682,Kamala Harris,47
North Carolina,2024-09-21,682,Donald Trump,49
North Carolina,2024-09-21,682,Kamala Harris,46
North Carolina,2024-09-21,682,Donald Trump,46
North Carolina,2024-09-21,682,Kamala Harris,45
North Carolina,2024-09-21,682,Donald Trump,47
National,2024-09-20,3129,Kamala Harris,52
National,2024-09-20,3129,Donald Trump,48
Michigan,2024-09-20,800,Kamala Harris,49
Michigan,2024-09-20,800,Donald Trump,47
Nevada,2024-09-20,800,Kamala Harris,48
Nevada,2024-09-20,800,Donald Trump,49
Pennsylvania,2024-09-20,800,Kamala Harris,47
Pennsylvania,2024-09-20,800,Donald Trump,48
Wisconsin,2024-09-20,800,Kamala Harris,48
Wisconsin,2024-09-20,800,Donald Trump,48
Montana,2024-09-20,800,Kamala Harris,39
Montana,2024-09-20,800,Donald Trump,56
Pennsylvania,2024-09-19,450,Kamala Harris,48
Pennsylvania,2024-09-19,450,Donald Trump,48
Michigan,2024-09-19,650,Kamala Harris,48
Michigan,2024-09-19,650,Donald Trump,43
Pennsylvania,2024-09-19,800,Kamala Harris,48
Pennsylvania,2024-09-19,800,Donald Trump,46
Minnesota,2024-09-18,800,Kamala Harris,48
Minnesota,2024-09-18,800,Donald Trump,43
Michigan,2024-09-18,500,Kamala Harris,47.6
Michigan,2024-09-18,500,Donald Trump,45.4
Arizona,2024-09-18,868,Kamala Harris,48.7
Arizona,2024-09-18,868,Donald Trump,49.8
Georgia,2024-09-18,975,Kamala Harris,48.2
Georgia,2024-09-18,975,Donald Trump,50.3
Michigan,2024-09-18,875,Kamala Harris,50
Michigan,2024-09-18,875,Donald Trump,49.1
Nevada,2024-09-18,895,Kamala Harris,48.8
Nevada,2024-09-18,895,Donald Trump,49
Pennsylvania,2024-09-18,880,Kamala Harris,49.6
Pennsylvania,2024-09-18,880,Donald Trump,49.3
North Carolina,2024-09-18,1000,Kamala Harris,49.7
North Carolina,2024-09-18,1000,Donald Trump,49.3
Wisconsin,2024-09-18,1000,Kamala Harris,48.7
Wisconsin,2024-09-18,1000,Donald Trump,50.3
Pennsylvania,2024-09-18,800,Kamala Harris,50
Pennsylvania,2024-09-18,800,Donald Trump,46
Pennsylvania,2024-09-18,800,Kamala Harris,52
Pennsylvania,2024-09-18,800,Donald Trump,47
Massachusetts,2024-09-18,800,Kamala Harris,60
Massachusetts,2024-09-18,800,Donald Trump,32
Massachusetts,2024-09-18,800,Kamala Harris,63
Massachusetts,2024-09-18,800,Donald Trump,35
New Mexico,2024-09-18,619,Kamala Harris,50
New Mexico,2024-09-18,619,Donald Trump,42
Wisconsin,2024-09-18,800,Kamala Harris,51
Wisconsin,2024-09-18,800,Donald Trump,45
Wisconsin,2024-09-18,800,Kamala Harris,53
Wisconsin,2024-09-18,800,Donald Trump,46
Connecticut,2024-09-18,800,Kamala Harris,53
Connecticut,2024-09-18,800,Donald Trump,37
Rhode Island,2024-09-18,800,Kamala Harris,53
Rhode Island,2024-09-18,800,Donald Trump,40
Rhode Island,2024-09-18,800,Kamala Harris,56
Rhode Island,2024-09-18,800,Donald Trump,43
National,2024-09-17,1445,Kamala Harris,49
National,2024-09-17,1445,Donald Trump,45
National,2024-09-17,1000,Kamala Harris,49
National,2024-09-17,1000,Donald Trump,44
National,2024-09-17,1000,Kamala Harris,47
National,2024-09-17,1000,Donald Trump,41
Pennsylvania,2024-09-17,1663,Kamala Harris,49
Pennsylvania,2024-09-17,1663,Donald Trump,48
Pennsylvania,2024-09-17,1476,Kamala Harris,49
Pennsylvania,2024-09-17,1476,Donald Trump,49
Wisconsin,2024-09-17,1312,Kamala Harris,50
Wisconsin,2024-09-17,1312,Donald Trump,47
Wisconsin,2024-09-17,1194,Kamala Harris,50
Wisconsin,2024-09-17,1194,Donald Trump,49
Michigan,2024-09-17,1282,Kamala Harris,50
Michigan,2024-09-17,1282,Donald Trump,47
Michigan,2024-09-17,1138,Kamala Harris,52
Michigan,2024-09-17,1138,Donald Trump,47
National,2024-09-17,6152,Kamala Harris,50
National,2024-09-17,6152,Donald Trump,45
National,2024-09-16,1102,Kamala Harris,50
National,2024-09-16,1102,Donald Trump,48
National,2024-09-16,876,Kamala Harris,50
National,2024-09-16,876,Donald Trump,48
Pennsylvania,2024-09-16,1331,Kamala Harris,51
Pennsylvania,2024-09-16,1331,Donald Trump,45
Pennsylvania,2024-09-16,1331,Kamala Harris,51
Pennsylvania,2024-09-16,1331,Donald Trump,46
Michigan,2024-09-16,905,Kamala Harris,50
Michigan,2024-09-16,905,Donald Trump,45
Michigan,2024-09-16,905,Kamala Harris,51
Michigan,2024-09-16,905,Donald Trump,46
Wisconsin,2024-09-16,1075,Kamala Harris,48
Wisconsin,2024-09-16,1075,Donald Trump,47
Wisconsin,2024-09-16,1075,Kamala Harris,49
Wisconsin,2024-09-16,1075,Donald Trump,48
Rhode Island,2024-09-16,683,Kamala Harris,58
Rhode Island,2024-09-16,683,Donald Trump,38
Massachusetts,2024-09-16,564,Kamala Harris,62
Massachusetts,2024-09-16,564,Donald Trump,31
New Hampshire,2024-09-16,1695,Kamala Harris,54
New Hampshire,2024-09-16,1695,Donald Trump,43
Pennsylvania,2024-09-16,1003,Kamala Harris,48
Pennsylvania,2024-09-16,1003,Donald Trump,47
Pennsylvania,2024-09-16,1003,Kamala Harris,48
Pennsylvania,2024-09-16,1003,Donald Trump,48
National,2024-09-16,2437,Kamala Harris,47
National,2024-09-16,2437,Donald Trump,47
National,2024-09-16,2437,Kamala Harris,46
National,2024-09-16,2437,Donald Trump,47
National,2024-09-16,2437,Kamala Harris,45
National,2024-09-16,2437,Donald Trump,46
